variant,clf,baseline,n_common,auroc_challenger,auroc_baseline,diff,ci_low,ci_high,p_two_sided,sig
u_TEXT_ONLY,lr,dc,6344,0.8128014895334048,0.7854773855985779,0.0273241039348268,0.0213277237882665,0.0333204840813872,4.218006722527976e-19,***
u_ALL-route_a,lr,dc,6344,0.8113237369532098,0.7854773855985779,0.0258463513546318,0.0193261426117259,0.0323665600975378,7.887710681081349e-15,***
u_ALL-gnn,lr,dc,6344,0.7906076666999808,0.7854773855985779,0.0051302811014029,-0.0034498755266118,0.0137104377294176,0.2412334334614139,ns
u_HYBRID_ALL,lr,dc,6344,0.7902682717593459,0.7854773855985779,0.0047908861607679,-0.0038090722478339,0.0133908445693698,0.2748939392689422,ns
u_ALL-shapelet,lr,dc,6344,0.7887838458307284,0.7854773855985779,0.0033064602321504,-0.0052125468185024,0.0118254672828032,0.446826856042084,ns
u_HYBRID_CORE,lr,dc,6344,0.7803543558521534,0.7854773855985779,-0.0051230297464245,-0.0134085800295867,0.0031625205367377,0.2255647363834433,ns
u_ALL-probe,lr,dc,6344,0.7801770654775285,0.7854773855985779,-0.0053003201210494,-0.0134457491445817,0.0028451089024829,0.2021782802259406,ns
u_ALL-text,lr,dc,6344,0.7541111767236128,0.7854773855985779,-0.0313662088749651,-0.043075877980235,-0.0196565397696951,1.520373871829762e-07,***
ROUTE_AB+deberta,lr,dc,6344,0.7476893662452367,0.7854773855985779,-0.0377880193533411,-0.0481956115115035,-0.0273804271951788,1.108930668489733e-12,***
ROUTE_AB+deberta+step,lr,dc,6344,0.7467520497951597,0.7854773855985779,-0.0387253358034181,-0.0491787294625165,-0.0282719421443198,3.847360505076248e-13,***
rAfull+gnn_h,lr,dc,6344,0.7055832700941614,0.7854773855985779,-0.0798941155044165,-0.0924143200011815,-0.0673739110076514,6.839927478100123e-36,***
rAB,lr,dc,6344,0.6562282360826793,0.7854773855985779,-0.1292491495158986,-0.1443225980147492,-0.1141757010170479,2.2073353628112245e-63,***
u_STRUCTURAL,lr,dc,6344,0.6562282360826793,0.7854773855985779,-0.1292491495158986,-0.1443225980147492,-0.1141757010170479,2.2073353628112245e-63,***
rAfull,lr,dc,6344,0.6505357647862222,0.7854773855985779,-0.1349416208123557,-0.1498995517228793,-0.1199836899018321,5.808411887015713e-70,***
u_ALL-route_a,rf,dc,6344,0.8087532892514006,0.7854773855985779,0.0232759036528226,0.0169219999381786,0.0296298073674666,6.979941024787766e-13,***
u_HYBRID_ALL,rf,dc,6344,0.8038412844440674,0.7854773855985779,0.0183638988454895,0.0116086008535063,0.0251191968374726,9.927159458809847e-08,***
u_ALL-gnn,rf,dc,6344,0.8022232864548997,0.7854773855985779,0.0167459008563217,0.0098694366656178,0.0236223650470256,1.8150192416069944e-06,***
u_ALL-shapelet,rf,dc,6344,0.800383228856021,0.7854773855985779,0.014905843257443,0.0082800867796177,0.0215315997352683,1.0370760122249897e-05,***
u_TEXT_ONLY,rf,dc,6344,0.7945712152945159,0.7854773855985779,0.0090938296959379,0.0019932834287274,0.0161943759631484,0.0120673029890824,*
