model_key,model_name,family,scope,group,n,n_pos,n_neg,label_rate,auroc,var_auroc,ci_low,ci_high,ci_width,method,alpha,note
superhybrid_deberta_cond,SuperHybrid base: DeBERTa_Cond re-agg,text,pooled_8,OVERALL,6378,3916,2462,0.6139855754154907,0.7882085534651732,3.3862264033641354e-05,0.7765787940712495,0.7993893297640092,0.022810535692759704,logit,0.05,
deberta_conditioned,DeBERTa-v3 [problem||trace] (pooled),text,pooled_8,OVERALL,6378,3916,2462,0.6139855754154907,0.7868185282483743,3.356810475420653e-05,0.7752425346543147,0.7979536948674394,0.022711160213124693,logit,0.05,
deberta_pooled,"DeBERTa-v3-base (trace tail, pooled)",text,pooled_8,OVERALL,6378,3916,2462,0.6139855754154907,0.7625790462424149,3.67596285815495e-05,0.7504918662094839,0.7742568047883841,0.023764938578900163,logit,0.05,
superhybrid_deberta,SuperHybrid base: DeBERTa re-agg,text,pooled_8,OVERALL,6378,3916,2462,0.6139855754154907,0.762208915661051,3.683213860867405e-05,0.7501101368592756,0.7738984829621178,0.023788346102842195,logit,0.05,
multi_layer_probe_L_spread_6_P_answer_oof,multi_layer_probe_L_spread_6_P_answer_oof,multi_layer,pooled_8_mlp,OVERALL,6378,3916,2462,0.6139855754154907,0.7758005441650784,3.484557125517785e-05,0.7640190548290555,0.7871576972317441,0.023138642402688592,logit,0.05,
multi_layer_probe_L_spread_3_P_answer_oof,multi_layer_probe_L_spread_3_P_answer_oof,multi_layer,pooled_8_mlp,OVERALL,6378,3916,2462,0.6139855754154907,0.7733056244497569,3.501384069634489e-05,0.7614988554012339,0.7846931679252104,0.023194312523976524,logit,0.05,
multi_layer_probe_L_all_P_ans_last_oof,multi_layer_probe_L_all_P_ans_last_oof,multi_layer,pooled_8_mlp,OVERALL,6378,3916,2462,0.6139855754154907,0.7708075412251929,3.534902747678547e-05,0.7589470026758961,0.7822519375635941,0.023304934887698026,logit,0.05,
multi_layer_probe_L_spread_5_P_answer_oof,multi_layer_probe_L_spread_5_P_answer_oof,multi_layer,pooled_8_mlp,OVERALL,6378,3916,2462,0.6139855754154907,0.7707925015910895,3.5801447627625245e-05,0.7588549985504116,0.7823085813854581,0.023453582835046505,logit,0.05,
multi_layer_probe_L_all_P_ans_last_think_oof,multi_layer_probe_L_all_P_ans_last_think_oof,multi_layer,pooled_8_mlp,OVERALL,6378,3916,2462,0.6139855754154907,0.7705532158264248,3.5248600195698655e-05,0.7587101933603226,0.7819819904040048,0.023271797043682207,logit,0.05,
multi_layer_probe_L_spread_3_P_ans_last_think_oof,multi_layer_probe_L_spread_3_P_ans_last_think_oof,multi_layer,pooled_8_mlp,OVERALL,6378,3916,2462,0.6139855754154907,0.7692293131388732,3.526064607376092e-05,0.7573861074940427,0.7806618170833374,0.023275709589294702,logit,0.05,
multi_layer_probe_L_late_3_P_ans_last_think_oof,multi_layer_probe_L_late_3_P_ans_last_think_oof,multi_layer,pooled_8_mlp,OVERALL,6378,3916,2462,0.6139855754154907,0.7691638648001201,3.5276062072431206e-05,0.7573181181337509,0.7805989116830675,0.02328079354931656,logit,0.05,
multi_layer_probe_L_pair_adjacent_P_answer_oof,multi_layer_probe_L_pair_adjacent_P_answer_oof,multi_layer,pooled_8_mlp,OVERALL,6378,3916,2462,0.6139855754154907,0.7691588861626238,3.567680735538031e-05,0.7572448887122974,0.7806575340359206,0.023412645323623194,logit,0.05,
multi_layer_probe_L_spread_5_P_ans_last_oof,multi_layer_probe_L_spread_5_P_ans_last_oof,multi_layer,pooled_8_mlp,OVERALL,6378,3916,2462,0.6139855754154907,0.7690649143798817,3.552911779693976e-05,0.7571761624804747,0.7805402975615191,0.0233641350810444,logit,0.05,
