variant,clf,n_features,n_samples,auroc_pooled,auroc_ci_low,auroc_ci_high,auroc_fold_mean,auroc_fold_std,auprc_pooled,ece_pooled,accuracy_at_80,accuracy_at_90
ROUTE_AB_TOTAL,xgb,357,6344,0.6655897879062742,0.6517717375910256,0.679129461868692,0.6656021140686228,0.003042096074162905,0.7382154561103363,0.08303742961632735,0.670935960591133,0.6484498160798738
ULTRA_STRUCTURAL,xgb,357,6344,0.6655897879062742,0.6517717375910256,0.679129461868692,0.6656021140686228,0.003042096074162905,0.7382154561103363,0.08303742961632735,0.670935960591133,0.6484498160798738
baselineC+rec,rf,28,6344,0.6645057628830042,0.6507914778051271,0.6779479837007614,0.6647112813010756,0.0048808527542878,0.7454269893947096,0.060832667213171945,0.6652216748768472,0.6451217376072867
ROUTE_A_FULL,rf,355,6344,0.6644509048062085,0.6507302540075286,0.677899351831253,0.6645088505440766,0.007478185619178002,0.7448635236297456,0.05742626850392755,0.6683743842364532,0.6456472236819057
C+rec+timing,lr,74,6344,0.6611707701453939,0.6474351699875526,0.6746401645286895,0.6613688487048458,0.005131127129222579,0.7460228470312649,0.10460560305988799,0.6673891625615763,0.6437204414083026
C+rec+structural_ph,rf,64,6344,0.6608702067361304,0.6471024154162661,0.6743711573263315,0.66096954449348,0.0069973797758409555,0.7422251364924529,0.05257086438689907,0.6654187192118226,0.6447714135575408
C+rec+ngram,rf,258,6344,0.6596097320750445,0.645799955382789,0.67315368984112,0.6598767856818027,0.0038640171444702994,0.7383466947031415,0.07262671181608155,0.6664039408866995,0.6454720616570327
baselineC,rf,23,6344,0.6591421247710174,0.6453841989678226,0.6726370324782646,0.6590747191799896,0.005427234878605452,0.7418117239528074,0.07143650696071997,0.6624630541871921,0.6452968996321597
ROUTE_A_FULL+gnn_s,xgb,356,6344,0.659087371786323,0.6452940898727564,0.6726164043198212,0.6590498680069405,0.008155707639859037,0.7394844786177076,0.08355094295601073,0.6644334975369458,0.6437204414083026
C+rec+graph,rf,43,6344,0.6588984687345221,0.6450845889188467,0.6724476950091165,0.6588612615247029,0.0030678233604240768,0.7387466073961934,0.061143151933222846,0.6667980295566502,0.6465230338062709
C+rec+timing,xgb,74,6344,0.6580886290031289,0.6442581214109705,0.6716554733106526,0.6579923655534756,0.005501709906549679,0.7383367122405922,0.08672525888234892,0.6636453201970444,0.6416184971098265
ROUTE_A_FULL+shapelet,lr,356,6344,0.6567417686349052,0.6428098271123556,0.6704089278057059,0.657000222593038,0.010645626416605729,0.7276875978234991,0.1145568962927479,0.6648275862068965,0.6445962515326678
ROUTE_AB_TOTAL,lr,357,6344,0.6562281835366287,0.6422863804608064,0.6699059729535577,0.656507116589087,0.01034516576833299,0.7270480692219228,0.11535677408728814,0.6650246305418719,0.6449465755824138
ULTRA_STRUCTURAL,lr,357,6344,0.6562281835366287,0.6422863804608064,0.6699059729535577,0.656507116589087,0.01034516576833299,0.7270480692219228,0.11535677408728814,0.6650246305418719,0.6449465755824138
ROUTE_A_FULL,xgb,355,6344,0.6540784720617379,0.6402028058385054,0.6676967780494268,0.6543218721023143,0.0067515593136652586,0.7344321118407651,0.08202525019154777,0.663448275862069,0.6414433350849535
step_only,xgb,1,6344,0.6537378685619397,0.6396382493918845,0.6675725290834736,0.6562770072902299,0.019834675832237723,0.7204451461471331,0.11621998023819577,0.6701477832512315,0.64880014012962
C+rec+graph,lr,43,6344,0.6526910986885242,0.6388013575679492,0.6663258154855852,0.653321301337093,0.005739714201140135,0.7340543887322535,0.10725058067343787,0.6606896551724138,0.6435452793834296
ROUTE_A_FULL,lr,355,6344,0.6505357647862221,0.6365662172855642,0.6642515662293557,0.6510487356079251,0.010656025378947265,0.7240081125370941,0.11402024950345967,0.6648275862068965,0.6417936591346995
ROUTE_A_FULL+gnn_s,lr,356,6344,0.649979091926478,0.6359990799451416,0.663706189634484,0.6505037249923707,0.010558530670131808,0.723313733806989,0.11657668781733758,0.6658128078817734,0.6414433350849535
baselineC+rec,lr,28,6344,0.6481245316176417,0.6342224792249574,0.6617798800446872,0.6481725892948006,0.006213231823250922,0.7349327552701641,0.10811088541632391,0.6597044334975369,0.6410930110352075
C+rec+ngram,lr,258,6344,0.6479327385330593,0.6339923118082471,0.6616255891874194,0.648695984266288,0.012946234495594133,0.728194917074749,0.11046792018459164,0.6610837438423646,0.6393413907864774
C+rec+ngram,xgb,258,6344,0.6477134113179779,0.6337741229864695,0.6614055931417324,0.6479485361922013,0.004587670450970423,0.7271796387360779,0.09072624783904831,0.6597044334975369,0.6405675249605886
C+rec+graph,xgb,43,6344,0.6472249432318742,0.6332903021515122,0.6609135958353033,0.6472552541681313,0.004538212640934329,0.7303453025880391,0.08888810614246084,0.6612807881773399,0.6421439831844457
C+rec+structural_ph,lr,64,6344,0.647068250909073,0.6331053060106838,0.6607848324788655,0.6471201357608818,0.00602208850213336,0.7286513568381252,0.10887245620272738,0.6612807881773399,0.6403923629357156
baselineC+rec,xgb,28,6344,0.646115380828027,0.632202823395909,0.6597848781571183,0.645884719654928,0.004058594094753845,0.7325709419934618,0.08780146985606044,0.6610837438423646,0.6402172009108426
C+rec+structural_ph,xgb,64,6344,0.6460171197134601,0.632096592146457,0.6596945018220313,0.6459535394051042,0.005665589198755346,0.7316181984860517,0.08500716610019499,0.6593103448275862,0.6391662287616044
baselineC,lr,23,6344,0.6435416227250319,0.6296312837335583,0.6572140509441542,0.6440510053298407,0.005429853294232253,0.732756392002369,0.1088751518340718,0.6532019704433497,0.6402172009108426
baselineC,xgb,23,6344,0.6410206734028602,0.6270433212365257,0.6547626052185861,0.6410383313244129,0.0061281782285287426,0.7290481941097544,0.09675705837835133,0.6571428571428571,0.6412681730600805
step_only,rf,1,6344,0.6208580707002906,0.6064016470361818,0.6351030317297335,0.6221126350622928,0.023081843252899206,0.6901816018365158,0.15266830142073334,0.6648275862068965,0.6449465755824138
