source,target,diagonal,auroc,auprc,ece,prr,acc_at_80,n_target
gpqa_diamond_qwen7b,gpqa_diamond_llama8b,False,0.6958686440677967,0.6445516982714927,0.10802829536524687,0.4673818397126054,0.44936708860759494,198
gpqa_diamond_qwen7b,arc_challenge_qwen7b,False,0.6124353784413719,0.7950826568526842,0.37267515234928894,0.3301363834736163,0.7374599786552828,1172
gpqa_diamond_qwen7b,arc_challenge_llama8b,False,0.48516831427279183,0.645181450359442,0.33976924410503073,-0.049925438560088166,0.6574172892209178,1172
gpqa_diamond_llama8b,math500_qwen7b,False,0.45481177384961846,0.6965155940153924,0.275287087380886,-0.12518627347470693,0.7225,500
gpqa_diamond_llama8b,math500_llama8b,False,0.5756075456498388,0.6534350838707896,0.16386262089014053,0.13652947404055843,0.6375,500
gpqa_diamond_llama8b,gsm8k_qwen7b,False,0.5635243120798363,0.726555503466422,0.25711712819595417,0.18790767138405617,0.6786729857819905,1319
gpqa_diamond_llama8b,gsm8k_llama8b,False,0.5292548630648084,0.491923288554268,0.044715463889196505,0.08977406612965445,0.45687203791469194,1319
gpqa_diamond_llama8b,gpqa_diamond_qwen7b,False,0.7739825581395349,0.7606149709662167,0.14554783069726193,0.6327944537307045,0.5063291139240507,198
gpqa_diamond_llama8b,gpqa_diamond_llama8b,True,0.7590042372881356,0.6877335374237843,0.16763378890475839,0.5536518042419551,0.4810126582278481,198
gpqa_diamond_llama8b,arc_challenge_qwen7b,False,0.6466186495627639,0.8021479940278491,0.31228003368646207,0.3598720557355957,0.7417289220917823,1172
gpqa_diamond_llama8b,arc_challenge_llama8b,False,0.5149835239387478,0.6567981980433545,0.2623548252387259,-0.008500911333464636,0.6627534685165422,1172
arc_challenge_qwen7b,math500_qwen7b,False,0.587885370374061,0.7850725248007637,0.16991538137197493,0.24682697103702508,0.745,500
arc_challenge_qwen7b,math500_llama8b,False,0.6318810418904404,0.7021332014189292,0.2340841159820557,0.27715073904883175,0.655,500
arc_challenge_qwen7b,gsm8k_qwen7b,False,0.580509624618982,0.7674356473663813,0.05631509093374265,0.3109481312419762,0.6796208530805687,1319
arc_challenge_qwen7b,gsm8k_llama8b,False,0.523744084835395,0.4915779074701468,0.21246418521836277,0.08496686758216197,0.4606635071090047,1319
arc_challenge_qwen7b,gpqa_diamond_qwen7b,False,0.7925664451827241,0.746843806768996,0.2501303919337013,0.6207455608717208,0.5126582278481012,198
arc_challenge_qwen7b,gpqa_diamond_llama8b,False,0.6782838983050847,0.6381101326591434,0.24712054882988788,0.45171423409142575,0.45569620253164556,198
arc_challenge_qwen7b,arc_challenge_qwen7b,True,0.7807335751713018,0.8900065126854384,0.024508032223063504,0.6557058211439982,0.7822838847385272,1172
arc_challenge_qwen7b,arc_challenge_llama8b,False,0.6214673386315177,0.7594463738309021,0.06731408102113635,0.3330758581664665,0.67982924226254,1172
arc_challenge_llama8b,math500_qwen7b,False,0.520835409234939,0.7579937356929392,0.07881320071220395,0.13566030965995957,0.7125,500
arc_challenge_llama8b,math500_llama8b,False,0.5373422395273899,0.62705638364836,0.026100255727767963,0.04989206627806886,0.62,500
arc_challenge_llama8b,gsm8k_qwen7b,False,0.5817166165601904,0.7665710386330653,0.06895224861885406,0.3097290517370282,0.6824644549763034,1319
arc_challenge_llama8b,gsm8k_llama8b,False,0.5200524659458007,0.4785350860604319,0.14391900893862813,0.05456468553642618,0.46255924170616114,1319
arc_challenge_llama8b,gpqa_diamond_qwen7b,False,0.6712001661129569,0.5545794407356988,0.20973284768335754,0.2696179794275935,0.4873417721518987,198
arc_challenge_llama8b,gpqa_diamond_llama8b,False,0.5564088983050848,0.4472787793621199,0.2401029085270082,0.07858070608406782,0.4240506329113924,198
arc_challenge_llama8b,arc_challenge_qwen7b,False,0.6561554772794982,0.8129556880939686,0.05427009263949995,0.3967818489065872,0.743863393810032,1172
arc_challenge_llama8b,arc_challenge_llama8b,True,0.7150965949473411,0.8223399849563108,0.05696525544233294,0.5216922022313276,0.7182497331910352,1172
