source,target,diagonal,auroc,auprc,ece,prr,acc_at_80,n_target
math500_qwen7b,math500_qwen7b,True,0.918093226250025,0.9628702609707591,0.06826728875935073,0.8806371562125708,0.865,500
math500_qwen7b,math500_llama8b,False,0.7958680182599356,0.8584050847849037,0.18186187490820882,0.6774507295958148,0.7075,500
math500_qwen7b,gsm8k_qwen7b,False,0.5695162115328407,0.753211886400883,0.2048555049957697,0.2690639496080196,0.6758293838862559,1319
math500_qwen7b,gsm8k_llama8b,False,0.5533268600614575,0.5143586450840836,0.4207838629121758,0.14245694411223567,0.46729857819905213,1319
math500_qwen7b,gpqa_diamond_qwen7b,False,0.7238372093023255,0.6862974364818966,0.41409143865710557,0.5113966404023985,0.5,198
math500_qwen7b,gpqa_diamond_llama8b,False,0.5738347457627118,0.48841176709951506,0.42557672870279556,0.17362088877917153,0.43670886075949367,198
math500_qwen7b,arc_challenge_qwen7b,False,0.61415628340606,0.7750907886896338,0.17828833263481836,0.2633681688457117,0.7406616862326574,1172
math500_qwen7b,arc_challenge_llama8b,False,0.5147896879240164,0.6677100414525854,0.2205065634775487,0.032972257056647136,0.6691568836712913,1172
math500_llama8b,math500_qwen7b,False,0.7590625560493434,0.8741592728271133,0.12076792132854468,0.5783896689570045,0.7975,500
math500_llama8b,math500_llama8b,True,0.786704484425349,0.8496665529544393,0.14152760154008867,0.6564713510034574,0.69,500
math500_llama8b,gsm8k_qwen7b,False,0.6518956950185812,0.7996829915628485,0.1036746334270422,0.42130487073289724,0.7118483412322275,1319
math500_llama8b,gsm8k_llama8b,False,0.5646021718676857,0.522825824015978,0.10637373256357983,0.16355030997074216,0.47393364928909953,1319
math500_llama8b,gpqa_diamond_qwen7b,False,0.7580980066445182,0.7533919358394705,0.1825288230120534,0.6173929428716752,0.4810126582278481,198
math500_llama8b,gpqa_diamond_llama8b,False,0.6772245762711864,0.6459441213174684,0.20625397171637025,0.4623518835797403,0.4430379746835443,198
math500_llama8b,arc_challenge_qwen7b,False,0.6538071955557891,0.8170361639160204,0.14948189085660937,0.4089944753276203,0.7449306296691569,1172
math500_llama8b,arc_challenge_llama8b,False,0.5149479873360471,0.6703496316969068,0.1077280374110355,0.042031949966362094,0.6574172892209178,1172
gsm8k_qwen7b,math500_qwen7b,False,0.623467984615078,0.8097095809109717,0.1620474032908678,0.3395078025496513,0.76,500
gsm8k_qwen7b,math500_llama8b,False,0.63203208915145,0.7039919856255215,0.23797032341361044,0.280988476040242,0.66,500
gsm8k_qwen7b,gsm8k_qwen7b,True,0.9108261305273707,0.9522483692732665,0.03177352472744355,0.8709564060629471,0.8018957345971564,1319
gsm8k_qwen7b,gsm8k_llama8b,False,0.7436816077197242,0.6867997977809195,0.179971996127113,0.5056046354466736,0.524170616113744,1319
gsm8k_qwen7b,gpqa_diamond_qwen7b,False,0.7203073089700996,0.6995093743462221,0.2704494032594892,0.5300608682940624,0.47468354430379744,198
gsm8k_qwen7b,gpqa_diamond_llama8b,False,0.5670550847457627,0.5473622382747749,0.272216624683804,0.2617081414821486,0.4177215189873418,198
gsm8k_qwen7b,arc_challenge_qwen7b,False,0.6151026058917337,0.7799474089900769,0.03562200768714064,0.28074614030795614,0.7385272145144077,1172
gsm8k_qwen7b,arc_challenge_llama8b,False,0.5286069651741293,0.6802192615217302,0.05152791655867171,0.07500512993533719,0.6574172892209178,1172
gsm8k_llama8b,math500_qwen7b,False,0.6605950696506506,0.8299846171756231,0.1916942290961742,0.41631809480585036,0.7625,500
gsm8k_llama8b,math500_llama8b,False,0.596921992481203,0.6928448638759357,0.10190398833155634,0.24891658138003028,0.6425,500
gsm8k_llama8b,gsm8k_qwen7b,False,0.8054276796525951,0.8847122945954062,0.156147469843401,0.6822623939022302,0.7658767772511849,1319
gsm8k_llama8b,gsm8k_llama8b,True,0.8372072543903151,0.8148303691750035,0.03906108781842232,0.7208914015743902,0.543127962085308,1319
gsm8k_llama8b,gpqa_diamond_qwen7b,False,0.4096760797342193,0.41334579992154286,0.15686378138835985,-0.09441311445798074,0.3924050632911392,198
gsm8k_llama8b,gpqa_diamond_llama8b,False,0.40455508474576274,0.39357488552620035,0.18011064127539145,-0.08819349483742953,0.37341772151898733,198
gsm8k_llama8b,arc_challenge_qwen7b,False,0.5003171932776055,0.7199533172271915,0.3369168734349591,0.05149028852564722,0.6926360725720384,1172
gsm8k_llama8b,arc_challenge_llama8b,False,0.4647735349227886,0.6245928404564814,0.30732207049841354,-0.13195766910593013,0.647812166488794,1172
gpqa_diamond_qwen7b,math500_qwen7b,False,0.49279579106797666,0.7111464880708789,0.2020446257591247,-0.06038822999990173,0.715,500
gpqa_diamond_qwen7b,math500_llama8b,False,0.5806928034371643,0.6681706491459405,0.10652778413891792,0.17692279887640225,0.6325,500
gpqa_diamond_qwen7b,gsm8k_qwen7b,False,0.5266764791849347,0.7004639011823398,0.24762050822162557,0.09559034013399177,0.6748815165876777,1319
gpqa_diamond_qwen7b,gsm8k_llama8b,False,0.5069522012986711,0.4760856999039658,0.02559779000336515,0.04689706595766406,0.4549763033175355,1319
gpqa_diamond_qwen7b,gpqa_diamond_qwen7b,True,0.8089700996677741,0.7833679947810246,0.11890621340335017,0.6757958755713932,0.5189873417721519,198
