number,value,state,params_add_group_dummies,params_family,params_feature_subset,params_isotonic,params_lgbm_alpha,params_lgbm_colsample,params_lgbm_lambda,params_lgbm_lr,params_lgbm_max_depth,params_lgbm_min_child,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_subsample,params_lr_C,params_lr_class_weight_balanced,params_lr_penalty,params_scaler,params_xgb_alpha,params_xgb_colsample,params_xgb_gamma,params_xgb_lambda,params_xgb_lr,params_xgb_max_depth,params_xgb_min_child,params_xgb_n_estimators,params_xgb_subsample,user_attrs_elapsed_sec,user_attrs_n_features,user_attrs_pooled_auroc,user_attrs_pruned_reason,user_attrs_weighted_auroc
0,0.7496607522880467,COMPLETE,True,xgb,oof_minus_roberta,False,,,,,,,,,,,,,standard,0.006290644294586149,0.5564532903055841,2.571172192068058,1.382623217936987,0.0022158645374549917,7.0,5.0,304.0,0.6460723242676091,1.8174962997436523,5,0.780089523757278,,0.7496607522880467
1,0.7375432045042061,COMPLETE,False,lgbm,oof+ph,False,4.869640941520899,0.9576492590949324,0.24637685958997463,0.25221951700214285,6.0,90.0,464.0,59.0,0.8875664116805573,,,,robust,,,,,,,,,,1.6925773620605469,42,0.7672211536107072,,0.7375432045042061
2,0.771552368179123,COMPLETE,False,xgb,oof+ph,False,,,,,,,,,,,,,robust,0.021066486017042207,0.3811083416675908,0.3177917514301182,0.3113095956122124,0.00152551885793314,9.0,9.0,611.0,0.6792328642721364,4.08034086227417,42,0.7981530693777066,,0.771552368179123
3,0.7666836777386477,COMPLETE,False,lgbm,oof+hand,False,0.00441453687649448,0.4601587158441357,0.014421346497969485,0.01038886879004847,11.0,12.0,456.0,75.0,0.8777755692715243,,,,standard,,,,,,,,,,4.012538433074951,34,0.7959709369896136,,0.7666836777386477
4,0.7662498264073919,COMPLETE,False,lr,all,False,,,,,,,,,,0.012898495377182663,False,l1,none,,,,,,,,,,0.7550206184387207,362,0.7875558971749457,,0.7662498264073919
5,0.7628322567818335,COMPLETE,False,xgb,oof_only,True,,,,,,,,,,,,,none,0.3420730367009226,0.8097514440283016,2.6788734203737925,0.3382387201936217,0.07702365744928269,8.0,4.0,269.0,0.6188187719961998,1.175415277481079,6,0.791812547639563,,0.7628322567818335
6,0.7688590949782933,COMPLETE,True,xgb,oof+ph,True,,,,,,,,,,,,,none,0.002357279455676982,0.6886405681196236,4.486078789766633,0.009277034327414719,0.04313804987283086,5.0,6.0,715.0,0.9086111001006079,3.183211326599121,42,0.8001757770483686,,0.7688590949782933
7,0.7459288611023306,COMPLETE,False,lr,oof_minus_roberta,True,,,,,,,,,,2.8805537835688413,False,l2,standard,,,,,,,,,,0.2754371166229248,5,0.772505131910029,,0.7459288611023306
8,0.7732734644759357,COMPLETE,True,xgb,all_minus_ng,False,,,,,,,,,,,,,standard,4.565176372646331,0.42397747558493426,1.8507935012772219,6.542056762893131,0.0011487713537358833,5.0,10.0,606.0,0.822736147953584,3.850184917449951,131,0.7994467005967024,,0.7732734644759357
9,0.771415060859971,COMPLETE,True,xgb,oof_only,False,,,,,,,,,,,,,standard,1.7276056747028232,0.7917388587909764,4.050566973395904,0.014940577239079744,0.06838702131186529,10.0,4.0,463.0,0.848507870497634,0.3654637336730957,6,0.8025425562581663,,0.771415060859971
10,0.7660873295144754,COMPLETE,True,lr,all_minus_ng,True,,,,,,,,,,34.540130684562214,True,l2,standard,,,,,,,,,,265.09578561782837,131,0.7950306254146539,,0.7660873295144754
11,0.7711182718784898,COMPLETE,True,xgb,all_minus_ng,False,,,,,,,,,,,,,robust,0.050072666570984393,0.3060179240021019,0.13184042202903745,6.95292469279077,0.0010668930019016151,3.0,10.0,636.0,0.7542509361376658,2.6146368980407715,131,0.7960097159749345,,0.7711182718784898
12,0.7739556202153538,COMPLETE,False,xgb,oof+timing,False,,,,,,,,,,,,,robust,9.5744401197653,0.3753062769998461,0.13165749329116275,9.312556702774527,0.0059393249894608615,5.0,10.0,552.0,0.7581049501878238,1.855440616607666,52,0.800365363198827,,0.7739556202153538
13,0.7739261436299991,COMPLETE,True,xgb,oof+timing,False,,,,,,,,,,,,,robust,6.209353418870909,0.48470614185337857,1.433542825520988,7.5349332296701474,0.007916519283061927,5.0,8.0,481.0,0.7692148346315127,1.6772944927215576,52,0.8035146581937211,,0.7739261436299991
14,0.7731531133604285,COMPLETE,False,xgb,oof+timing,False,,,,,,,,,,,,,robust,6.110985891974205,0.5481855643599386,1.2747500206281297,9.384660332547663,0.008958637848337102,5.0,7.0,448.0,0.5157413738318061,1.4648222923278809,52,0.8015664082767175,,0.7731531133604285
15,0.7675048061290588,COMPLETE,True,lgbm,oof+timing,False,7.282449103372351,0.82824448783755,4.980132424705428,0.001202979202900109,-1.0,5.0,157.0,254.0,0.5334831945668878,,,,robust,,,,,,,,,,1.6471829414367676,52,0.7946876047965297,,0.7675048061290588
16,0.7754816170073046,COMPLETE,False,xgb,oof+timing,False,,,,,,,,,,,,,robust,0.4609338851965146,0.48917481306638283,1.250055140364301,0.0014908308932316486,0.008791634528464268,3.0,8.0,439.0,0.9919074133253796,0.8866934776306152,52,0.8032747854728667,,0.7754816170073046
17,0.7740752694410811,COMPLETE,False,xgb,oof+ng,False,,,,,,,,,,,,,robust,0.5205577940254907,0.6291955611546597,0.8022977698297354,0.0010052057882164599,0.005484332300262382,3.0,8.0,108.0,0.9848142116345383,0.6728348731994629,237,0.8004484910508297,,0.7740752694410811
18,0.773262001279528,COMPLETE,False,lr,oof+ng,True,,,,,,,,,,0.007665738318759278,True,l1,robust,,,,,,,,,,0.26578497886657715,237,0.7934428939506148,,0.773262001279528
19,0.724566178228687,COMPLETE,False,lgbm,oof+ng,False,0.001039990192249746,0.31007574420529366,0.0012345181757780562,0.2920129465212997,-1.0,65.0,794.0,209.0,0.5770081878728344,,,,robust,,,,,,,,,,8.328993320465088,237,0.7497144384881744,,0.724566178228687
20,0.7566541846101988,COMPLETE,False,xgb,oof+hand+graph,False,,,,,,,,,,,,,robust,0.4854552302639351,0.9524853804806545,1.0022777884233156,0.001330530240614794,0.272994364830057,3.0,1.0,119.0,0.9926099914210286,0.3052639961242676,49,0.7876018749691949,,0.7566541846101988
21,0.7741674865931282,COMPLETE,False,xgb,oof+timing,False,,,,,,,,,,,,,robust,0.5418412041937138,0.6457077570723372,0.6285736140940118,0.0010588183288713453,0.0043805756032920225,3.0,8.0,103.0,0.985990506226191,0.3024101257324219,52,0.8002041519156766,,0.7741674865931282
22,0.773507580741558,COMPLETE,False,xgb,oof+ng,False,,,,,,,,,,,,,robust,0.3579272387665052,0.6645408858363662,0.8370124738889466,0.001074816312838854,0.0039133523627625545,3.0,8.0,104.0,0.9976392098254232,0.6647434234619141,237,0.7995375001720884,,0.773507580741558
23,0.7730773176223923,COMPLETE,False,xgb,oof+timing,False,,,,,,,,,,,,,robust,0.9280305207115997,0.588947900388161,2.0709025673897123,0.004018340485025782,0.018710968882144168,4.0,7.0,228.0,0.9269058490618016,0.6919362545013428,52,0.8019782116750389,,0.7730773176223923
24,0.7734581047474247,COMPLETE,False,xgb,all,False,,,,,,,,,,,,,robust,0.1288057394208636,0.7470565580006044,0.6812573630141837,0.0038471226558671537,0.015753804765153992,4.0,8.0,191.0,0.9305697112473028,2.508136749267578,362,0.801818524227355,,0.7734581047474247
25,0.7727192314490382,COMPLETE,False,xgb,oof+hand+graph,False,,,,,,,,,,,,,none,0.12283909955243763,0.6250528805637612,1.6437543789256017,0.020349351466474187,0.0036190121364664805,4.0,7.0,363.0,0.9999303990469145,1.009509563446045,49,0.8006850008244475,,0.7727192314490382
26,0.7703685421832296,COMPLETE,False,xgb,oof+hand,True,,,,,,,,,,,,,robust,1.6594223051998191,0.4967231285420876,0.6543322754295678,0.0028248647883887903,0.018284200430380433,3.0,9.0,796.0,0.8802860626563408,4.565976619720459,34,0.7997875142807029,,0.7703685421832296
27,0.7721008852782931,COMPLETE,False,xgb,oof+ng,False,,,,,,,,,,,,,robust,0.18854234804276523,0.7217402184733612,3.6623788227337997,0.047848648514186416,0.0029037663576576955,6.0,6.0,168.0,0.9451909649449304,2.003439426422119,237,0.8001948512647257,,0.7721008852782931
28,0.7707372368035018,COMPLETE,False,lgbm,oof+timing,False,0.10949721143214121,0.6516115610243013,8.966166158884114,0.022671478119312635,12.0,44.0,104.0,149.0,0.7248135484492502,,,,robust,,,,,,,,,,0.836984395980835,52,0.7993343571405827,,0.7707372368035018
29,0.751905309296022,COMPLETE,False,lr,oof_minus_roberta,False,,,,,,,,,,0.2234517144308134,False,l2,none,,,,,,,,,,0.16925430297851562,5,0.7768585196537467,,0.751905309296022
30,0.7730694972853092,COMPLETE,False,xgb,oof+timing,False,,,,,,,,,,,,,robust,0.038638811992676256,0.8823913105709237,3.2141193240538852,0.0010099567313387365,0.01054875357517102,4.0,9.0,338.0,0.9562215438166309,1.1228697299957275,52,0.8019731147081336,,0.7730694972853092
31,0.7749252728001796,COMPLETE,False,xgb,oof+timing,False,,,,,,,,,,,,,robust,1.1821192582595321,0.3815365527572498,0.04299472839647153,0.0026992451917652377,0.00553654413667159,3.0,10.0,563.0,0.8301475622417681,1.147883415222168,52,0.801850577318203,,0.7749252728001796
32,0.7751001897467121,COMPLETE,False,xgb,oof+timing,False,,,,,,,,,,,,,robust,0.9667960275515548,0.4616120055430424,0.5292141893411852,0.002057673644909154,0.004202078389442374,3.0,8.0,394.0,0.8715821027160371,0.8623528480529785,52,0.8016710274634034,,0.7751001897467121
33,0.7748350701741846,COMPLETE,False,xgb,oof+timing,False,,,,,,,,,,,,,robust,2.3892674149417306,0.46078720064851014,0.13657550585581313,0.0029054402215722788,0.004576205348580496,3.0,9.0,393.0,0.8279151321311816,0.8649556636810303,52,0.8012575951375146,,0.7748350701741846
34,0.7739453901171918,COMPLETE,False,xgb,oof+timing,False,,,,,,,,,,,,,robust,2.3354757290393175,0.45607556216118844,0.015921438910755883,0.006764980638490032,0.001986883849832724,4.0,9.0,402.0,0.8300596637728488,1.162149429321289,52,0.8001365251485923,,0.7739453901171918
35,0.7726150857778225,COMPLETE,False,lgbm,oof+timing,False,0.15794287893343129,0.5885131323895855,0.27278010120619384,0.0010605876046185948,5.0,99.0,797.0,24.0,0.9859259258592981,,,,robust,,,,,,,,,,3.306145429611206,52,0.8008364385421918,,0.7726150857778225
36,0.7740243059518314,COMPLETE,False,xgb,oof+timing,False,,,,,,,,,,,,,robust,1.1396692480318633,0.3368803334453341,1.1701495939604407,0.0025488454915419414,0.012779716803225883,3.0,10.0,525.0,0.7994591027543189,0.9820108413696289,52,0.802623582268146,,0.7740243059518314
37,0.7665019213970826,COMPLETE,False,xgb,oof+ph,False,,,,,,,,,,,,,none,2.0266308555908945,0.4277655055578315,0.485522120910862,0.006413862335402416,0.02710258570177019,4.0,9.0,404.0,0.8768405652840092,0.9929313659667969,42,0.7964423801553324,,0.7665019213970826
38,0.770760480795439,COMPLETE,False,xgb,oof+hand,True,,,,,,,,,,,,,robust,3.1471274492014585,0.5057869387298272,0.3611486351947195,0.028828894756239638,0.007461361466622611,6.0,10.0,531.0,0.7110336992532487,6.517602205276489,34,0.8000652727040187,,0.770760480795439
39,0.7730522598637841,COMPLETE,False,lr,all,False,,,,,,,,,,0.0011905470536637114,True,l1,standard,,,,,,,,,,0.26932501792907715,362,0.7949076151102684,,0.7730522598637841
