number,value,state,params_add_group_dummies,params_family,params_feature_subset,params_isotonic,params_lgbm_alpha,params_lgbm_colsample,params_lgbm_lambda,params_lgbm_lr,params_lgbm_max_depth,params_lgbm_min_child,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_subsample,params_lr_C,params_lr_class_weight_balanced,params_lr_penalty,params_scaler,params_xgb_alpha,params_xgb_colsample,params_xgb_gamma,params_xgb_lambda,params_xgb_lr,params_xgb_max_depth,params_xgb_min_child,params_xgb_n_estimators,params_xgb_subsample,user_attrs_elapsed_sec,user_attrs_n_features,user_attrs_pooled_auroc,user_attrs_pruned_reason,user_attrs_weighted_auroc
40,0.7726018061863346,COMPLETE,False,xgb,oof_only,False,,,,,,,,,,,,,robust,0.920706963257133,0.3817111467914659,0.006320258623182862,0.00225210365485122,0.003152142147798173,3.0,7.0,412.0,0.8670685710635342,0.4393901824951172,6,0.7980407784676373,,0.7726018061863346
41,0.7755727568671386,COMPLETE,False,xgb,oof+timing,False,,,,,,,,,,,,,robust,0.6131066846682133,0.5356399036121402,0.558611402984885,0.002205911963413058,0.005244363731631051,3.0,8.0,341.0,0.8984334855170483,0.7622842788696289,52,0.8023052582937897,,0.7755727568671386
42,0.7738211140398973,COMPLETE,False,xgb,oof+timing,False,,,,,,,,,,,,,robust,0.23182793991813458,0.5322407671771885,0.4193976899000457,0.00199221129598506,0.006033730369021021,4.0,9.0,348.0,0.8051458472301667,1.0755903720855713,52,0.8017727566173081,,0.7738211140398973
43,0.7751640681791012,COMPLETE,False,xgb,oof+timing,False,,,,,,,,,,,,,robust,0.8999669426223559,0.5722301975053397,1.063866230772473,0.004764395133003393,0.002411226734187642,3.0,8.0,293.0,0.9012657782847537,0.6686034202575684,52,0.8014477067484789,,0.7751640681791012
44,0.7438093091918804,COMPLETE,False,xgb,oof_minus_roberta,True,,,,,,,,,,,,,standard,0.821531179018353,0.5497685145645455,1.009117699946306,0.009640589601974212,0.002447845597632751,3.0,6.0,285.0,0.8880107263830581,1.1663174629211426,5,0.770471021746393,,0.7438093091918804
45,0.7725744269224768,COMPLETE,True,xgb,oof+timing,False,,,,,,,,,,,,,robust,0.2504330629927088,0.6005353024009855,2.3844617976741302,0.005105746552317125,0.0019376731892361836,7.0,7.0,305.0,0.8947344157636146,2.0564072132110596,52,0.8019249299797603,,0.7725744269224768
46,0.7698416784760745,COMPLETE,False,xgb,oof+ph,False,,,,,,,,,,,,,none,0.7137789778693769,0.4207223251972521,1.5398538361483478,0.322011644725322,0.0015348251972681678,8.0,5.0,326.0,0.9501557382649514,2.2939982414245605,42,0.7959606379637019,,0.7698416784760745
47,0.7706015869370383,COMPLETE,False,lgbm,oof+timing,False,0.6917358650932378,0.7743606466860529,0.0018058139795640172,0.0343643298018019,4.0,40.0,289.0,130.0,0.6912224091790039,,,,robust,,,,,,,,,,0.7309002876281738,52,0.7999429454982905,,0.7706015869370383
48,,PRUNED,True,lr,all_minus_ng,False,,,,,,,,,,88.45011500155012,True,l1,standard,,,,,,,,,,810.7537128925323,131,,trial_timeout,
49,0.771696928905005,COMPLETE,False,xgb,oof_only,True,,,,,,,,,,,,,robust,0.006515821552162405,0.5828096028083979,0.919870882369084,0.10157793758845235,0.0024214127943900468,4.0,8.0,490.0,0.8556787759295886,2.6641640663146973,6,0.7989497200504064,,0.771696928905005
50,0.7752949600776261,COMPLETE,False,xgb,oof+timing,False,,,,,,,,,,,,,robust,1.1441296533463052,0.5178997303150403,1.3045777994229402,0.0017690844449462,0.011201785216669535,3.0,1.0,249.0,0.9191958140208206,0.6326587200164795,52,0.8025518043630668,,0.7752949600776261
51,0.7751344407849338,COMPLETE,False,xgb,oof+timing,False,,,,,,,,,,,,,robust,1.2247342967154868,0.5362423697116159,1.2489933863701026,0.0017363876040135235,0.011134654662342086,3.0,1.0,239.0,0.9114173193059848,0.5978355407714844,52,0.8023890692444497,,0.7751344407849338
52,0.77520134524237,COMPLETE,False,xgb,oof+timing,False,,,,,,,,,,,,,robust,1.4025894529545697,0.5336893529870387,1.890925881759173,0.0017014058257198907,0.012033262347720597,3.0,1.0,252.0,0.9084062073243856,0.6292285919189453,52,0.8025595286325005,,0.77520134524237
53,0.7727261091785171,COMPLETE,False,xgb,oof+timing,False,,,,,,,,,,,,,robust,3.894534465116353,0.5232374829286089,1.9009261803077517,1.1599609144036018,0.025182450409669713,4.0,1.0,234.0,0.9048579164804169,0.7241702079772949,52,0.8019883005167483,,0.7727261091785171
54,0.7755515400158643,COMPLETE,False,xgb,oof+timing,False,,,,,,,,,,,,,robust,0.360747601186509,0.5709843015038085,1.321226244183396,0.0017380466719282104,0.011680432746551667,3.0,2.0,253.0,0.9135830472394505,0.6262555122375488,52,0.802754999940623,,0.7755515400158643
55,0.7679696628467233,COMPLETE,True,xgb,oof+hand+graph,False,,,,,,,,,,,,,robust,0.3849083081511764,0.5821426332411869,2.1902770947139194,0.008576855777598305,0.01413869462462937,10.0,2.0,263.0,0.9673661975062485,2.649073362350464,49,0.7988965959932796,,0.7679696628467233
56,0.770026492473008,COMPLETE,False,xgb,oof+timing,False,,,,,,,,,,,,,robust,0.2943101264746698,0.5721436497790325,1.714543880521889,0.001685755070314505,0.008079299177583047,9.0,2.0,193.0,0.9227685434596185,2.371171474456787,52,0.7986225157935037,,0.770026492473008
57,0.7714193687602223,COMPLETE,False,xgb,oof+timing,False,,,,,,,,,,,,,robust,0.07417745454487128,0.48709481112717035,2.6648952829446317,0.0038217285063922865,0.03535427311276952,3.0,2.0,288.0,0.5828257258665432,0.6645147800445557,52,0.8007740663801646,,0.7714193687602223
58,0.7690784121699425,COMPLETE,False,lgbm,all,False,0.010997290882651934,0.3402867912732558,0.03921325508318129,0.005769566752730085,8.0,70.0,632.0,157.0,0.6183429010982501,,,,standard,,,,,,,,,,8.000874042510986,362,0.7977944425825627,,0.7690784121699425
59,0.7706852397252365,COMPLETE,False,lr,oof+hand,True,,,,,,,,,,1.0720268683027572,False,l2,robust,,,,,,,,,,1.0467686653137207,34,0.7972852188064837,,0.7706852397252365
60,0.7718727250471574,COMPLETE,True,xgb,all_minus_ng,False,,,,,,,,,,,,,none,0.6591355192742097,0.6134768844203352,1.3843429803812342,0.01374433338929022,0.02317367594897532,4.0,2.0,258.0,0.9385557237086984,1.612396478652954,131,0.8028245709115784,,0.7718727250471574
61,0.7750238053202,COMPLETE,False,xgb,oof+timing,False,,,,,,,,,,,,,robust,1.4716838480387417,0.5408182739612561,1.1443494740247862,0.001610668056358493,0.010464778062969627,3.0,1.0,230.0,0.9089743817649859,0.5721056461334229,52,0.8023336857071485,,0.7750238053202
62,0.7758129951615627,COMPLETE,False,xgb,oof+timing,False,,,,,,,,,,,,,robust,0.4943608611057678,0.5169546156684026,1.3067994545466608,0.001540599340881105,0.011500419014834003,3.0,3.0,172.0,0.9685604209956753,0.44219207763671875,52,0.8026502231157854,,0.7758129951615627
63,0.7756364787943467,COMPLETE,False,xgb,oof+timing,False,,,,,,,,,,,,,robust,0.4631220049290253,0.5093361368385747,1.474542944463645,0.0016817909062147695,0.007241734453478102,3.0,4.0,160.0,0.9680155588416719,0.42504358291625977,52,0.8020806239276007,,0.7756364787943467
64,0.7756923286226088,COMPLETE,False,xgb,oof+timing,False,,,,,,,,,,,,,robust,0.4272180982789134,0.5141698719650583,1.8801333409175855,0.0015454666496180819,0.006962653515104181,3.0,3.0,171.0,0.9731938316214699,0.45438075065612793,52,0.8021323292413621,,0.7756923286226088
65,0.7736410642938222,COMPLETE,False,xgb,oof+timing,False,,,,,,,,,,,,,robust,0.5023543176681412,0.505163634214458,1.465754629309602,0.00127859760327938,0.006989675797528671,5.0,3.0,157.0,0.9704308274790284,0.717980146408081,52,0.8011876563442053,,0.7736410642938222
66,0.7474942971765147,COMPLETE,False,xgb,oof_minus_roberta,False,,,,,,,,,,,,,robust,0.17079684458555733,0.43709304114701836,2.136890312077988,0.003301906646311613,0.008367730847774377,3.0,3.0,153.0,0.9609049717087824,0.21825718879699707,5,0.77343635301824,,0.7474942971765147
67,0.77362508367434,COMPLETE,False,xgb,oof+timing,False,,,,,,,,,,,,,robust,0.3861643248631747,0.48086114085278797,1.7100181855172307,0.0012969681983139392,0.009513149889371767,4.0,3.0,184.0,0.9725374273453228,0.6341989040374756,52,0.8011666379239769,,0.77362508367434
68,0.7756533413929998,COMPLETE,False,xgb,oof+timing,False,,,,,,,,,,,,,robust,0.08536417111718683,0.651673239854515,1.3523858551527406,0.002400558157801463,0.015865705974354653,3.0,4.0,135.0,0.9358763002041326,0.3823676109313965,52,0.8027989284388999,,0.7756533413929998
69,0.7734708057657865,COMPLETE,False,xgb,oof+hand+graph,False,,,,,,,,,,,,,robust,0.08538933092897881,0.6538450218629679,1.5454586720615922,2.5659498718032876,0.017338142254955082,4.0,4.0,137.0,0.9855020756501447,0.485532283782959,49,0.8016052398080892,,0.7734708057657865
70,0.775379288560706,COMPLETE,False,xgb,oof+ph,False,,,,,,,,,,,,,robust,0.02708333496818024,0.6777551585482563,0.8491929748968174,0.005231055441317739,0.00660192933804405,3.0,4.0,204.0,0.9450058239839579,0.500774621963501,42,0.8021312783203508,,0.775379288560706
71,0.7752898037930632,COMPLETE,False,xgb,oof+ph,False,,,,,,,,,,,,,robust,0.02036959883934514,0.7146116373870345,0.8257907537065352,0.0032871403528455657,0.006559896685284206,3.0,4.0,207.0,0.9492906396445773,0.49654221534729004,42,0.8021235015048663,,0.7752898037930632
72,0.7752969289852334,COMPLETE,False,xgb,oof+timing,False,,,,,,,,,,,,,robust,0.01614514008921384,0.6723235362073268,1.3105050439629793,0.005137660709532394,0.014991994294306503,3.0,5.0,134.0,0.9770660880744936,0.3865354061126709,52,0.8025647832375576,,0.7752969289852334
73,0.7754096849299502,COMPLETE,False,xgb,oof+ph,False,,,,,,,,,,,,,robust,0.039123872938015225,0.6917805663822378,0.7729244820523838,0.002443998270204383,0.00499975051826055,3.0,3.0,218.0,0.9334220880815025,0.5413107872009277,42,0.8020631786388114,,0.7754096849299502
74,0.7744314375049981,COMPLETE,False,xgb,oof+ph,False,,,,,,,,,,,,,robust,0.049218682844959956,0.7748375595374624,1.064244976816891,0.002498036746353185,0.004733687150588625,3.0,3.0,170.0,0.9973084788561706,0.4354870319366455,42,0.8012616411834086,,0.7744314375049981
75,0.7738568344883383,COMPLETE,False,xgb,oof_only,False,,,,,,,,,,,,,robust,0.146892965000007,0.6436974493575108,4.925524933848109,0.0010270125354425042,0.005315722949000412,4.0,3.0,139.0,0.9376915840679239,0.24041271209716797,6,0.8003574812912414,,0.7738568344883383
76,0.7670537421846149,COMPLETE,False,lgbm,oof+ph,False,0.022026683775528223,0.9815666919882242,1.077470688799035,0.08571374116014081,2.0,25.0,332.0,102.0,0.8228040519214526,,,,robust,,,,,,,,,,0.3924596309661865,42,0.796425775603352,,0.7670537421846149
77,0.7709771405928404,COMPLETE,False,lr,oof+ng,True,,,,,,,,,,0.09488568967525067,False,l1,none,,,,,,,,,,3.6696507930755615,237,0.7924150406554047,,0.7709771405928404
78,0.7554541481690419,COMPLETE,False,xgb,oof+timing,False,,,,,,,,,,,,,robust,0.09809591707689932,0.7100425511675651,0.7042224718992541,0.0014303756945292572,0.21119893256237435,3.0,4.0,218.0,0.9618880884139347,0.5637490749359131,52,0.7849666379870323,,0.7554541481690419
79,0.7748401254036755,COMPLETE,True,xgb,oof+timing,False,,,,,,,,,,,,,robust,0.19662805245379025,0.5582999320265869,1.7508391766216764,0.0031337905244159235,0.003578602599720992,3.0,3.0,101.0,0.9343708358314265,0.30047106742858887,52,0.801903438645077,,0.7748401254036755
80,0.7721696270590082,COMPLETE,False,xgb,oof+hand,False,,,,,,,,,,,,,standard,0.06907807855863554,0.6185602140336475,2.015909633778235,0.21196557103377428,0.021038170847751503,5.0,5.0,169.0,0.9840803995951949,0.5389304161071777,34,0.8010529282705423,,0.7721696270590082
81,0.7752732388981309,COMPLETE,False,xgb,oof+ph,False,,,,,,,,,,,,,robust,0.010555990469557054,0.6771016604956487,0.8393567483767769,0.002290768766079606,0.009069469622926032,3.0,4.0,203.0,0.9563646028912665,0.455089807510376,42,0.8023019478926039,,0.7752732388981309
82,0.7751610744236379,COMPLETE,False,xgb,oof+ph,False,,,,,,,,,,,,,robust,0.03695029255896061,0.6979833626002817,1.4429935337240478,0.002196981503969316,0.0058498486847853885,3.0,4.0,434.0,0.9264422671145,0.8898253440856934,42,0.8025320995941027,,0.7751610744236379
83,0.7742724403832908,COMPLETE,False,xgb,oof+ph,False,,,,,,,,,,,,,robust,0.5649028490194768,0.4745754543514887,0.6915953270988845,0.0014377167817999608,0.007114943426794017,3.0,4.0,181.0,0.9398688998258676,0.39144039154052734,42,0.8002084606918234,,0.7742724403832908
84,0.7736141493888309,COMPLETE,False,xgb,oof+ph,False,,,,,,,,,,,,,robust,0.328528904452031,0.7326711845103174,1.203867894867018,0.004480746150153575,0.004981541798820213,4.0,2.0,369.0,0.9800755331747703,1.07430100440979,42,0.801836022062195,,0.7736141493888309
85,0.7758246352169547,COMPLETE,False,xgb,oof+timing,False,,,,,,,,,,,,,robust,0.03654601459499965,0.639862599401003,0.30808275617228775,0.006476832651066868,0.013909821742024753,3.0,3.0,119.0,0.9994105501221184,0.328383207321167,52,0.8026508536683921,,0.7758246352169547
86,0.7760384222023842,COMPLETE,False,xgb,oof+timing,False,,,,,,,,,,,,,robust,0.11959665306649815,0.6043288411854499,0.26713046561274245,0.0011953612395888924,0.013854779176920068,3.0,3.0,123.0,0.9926422004198696,0.3206486701965332,52,0.8026401868201263,,0.7760384222023842
87,0.7757466540846363,COMPLETE,False,xgb,oof+timing,False,,,,,,,,,,,,,robust,0.46317048554159546,0.6046747348804162,0.279823726568172,0.0013360509529510374,0.013379231979854533,3.0,3.0,122.0,0.9951176552091012,0.31783533096313477,52,0.8023768785607174,,0.7757466540846363
88,0.772239462748067,COMPLETE,False,xgb,oof+timing,False,,,,,,,,,,,,,robust,0.11992680857892148,0.5980642372931824,0.23075435824625123,0.0010210169450760914,0.030481944014384085,4.0,3.0,117.0,0.9932714224433803,0.39452219009399414,52,0.8013105090104391,,0.772239462748067
89,0.7757287709205696,COMPLETE,False,xgb,oof+timing,False,,,,,,,,,,,,,robust,0.27583403305611487,0.6226798614347719,0.31370778311975,0.001342194354469064,0.02051342434760472,3.0,2.0,132.0,0.9994314622777544,0.3265268802642822,52,0.8028804273633348,,0.7757287709205696
90,0.770238315765119,COMPLETE,False,lgbm,oof+timing,True,1.0218143653448388,0.5476887944060582,0.008126690458299774,0.0036467608745817063,9.0,78.0,606.0,199.0,0.9941475702432803,,,,robust,,,,,,,,,,11.606173992156982,52,0.7989484063991421,,0.770238315765119
91,0.7761662336845166,COMPLETE,False,xgb,oof+timing,False,,,,,,,,,,,,,robust,0.27678115789079705,0.6327479577850066,0.20792602567945223,0.001284578526216613,0.01420519125984491,3.0,2.0,128.0,0.9995892184333011,0.325747013092041,52,0.80282472854973,,0.7761662336845166
92,0.7762618194977747,COMPLETE,False,xgb,oof+timing,False,,,,,,,,,,,,,robust,0.002229173743553759,0.6332028094842785,0.35951229018469566,0.0013063302122886737,0.019591711446561643,3.0,2.0,126.0,0.9976357147097065,0.3198890686035156,52,0.8030228271603809,,0.7762618194977747
93,0.7756264622756038,COMPLETE,False,xgb,oof+timing,False,,,,,,,,,,,,,robust,0.0010108342330628734,0.640771984882535,0.2673413965450183,0.0012726567734445645,0.020431355083660976,3.0,2.0,127.0,0.9783888695449708,0.34295654296875,52,0.8027434923555481,,0.7756264622756038
94,0.776426535550439,COMPLETE,False,xgb,oof+timing,False,,,,,,,,,,,,,robust,0.003072701311840754,0.6264466521988952,0.4222609547849876,0.0012613375013007906,0.01599406688970043,3.0,3.0,149.0,0.9984052403304312,0.36133408546447754,52,0.8034203905789976,,0.776426535550439
95,0.771566471853848,COMPLETE,False,xgb,oof+timing,False,,,,,,,,,,,,,robust,0.0022422802766293944,0.622792208280863,0.39284222227467724,0.0011972880368716567,0.015684001218444595,6.0,3.0,143.0,0.9931465960731208,0.8283591270446777,52,0.8002563826899436,,0.771566471853848
96,0.7755043723803163,COMPLETE,False,xgb,oof+timing,False,,,,,,,,,,,,,none,0.002568538208030445,0.6562019586708571,0.11615352328426973,0.001000013617806354,0.013484026540636677,3.0,2.0,111.0,0.9999511959160947,0.2765803337097168,52,0.8023278530955351,,0.7755043723803163
