dataset,A_auroc_mean,A_auroc_std,A_auprc_mean,A_auprc_std,A_ece_mean,A_ece_std,A_accuracy_at_80_mean,A_accuracy_at_80_std,A_accuracy_at_90_mean,A_accuracy_at_90_std,B_auroc_mean,B_auroc_std,B_auprc_mean,B_auprc_std,B_ece_mean,B_ece_std,B_accuracy_at_80_mean,B_accuracy_at_80_std,B_accuracy_at_90_mean,B_accuracy_at_90_std,C[LR]_auroc_mean,C[LR]_auroc_std,C[LR]_auprc_mean,C[LR]_auprc_std,C[LR]_ece_mean,C[LR]_ece_std,C[LR]_accuracy_at_80_mean,C[LR]_accuracy_at_80_std,C[LR]_accuracy_at_90_mean,C[LR]_accuracy_at_90_std,C[RF]_auroc_mean,C[RF]_auroc_std,C[RF]_auprc_mean,C[RF]_auprc_std,C[RF]_ece_mean,C[RF]_ece_std,C[RF]_accuracy_at_80_mean,C[RF]_accuracy_at_80_std,C[RF]_accuracy_at_90_mean,C[RF]_accuracy_at_90_std,C[XGB]_auroc_mean,C[XGB]_auroc_std,C[XGB]_auprc_mean,C[XGB]_auprc_std,C[XGB]_ece_mean,C[XGB]_ece_std,C[XGB]_accuracy_at_80_mean,C[XGB]_accuracy_at_80_std,C[XGB]_accuracy_at_90_mean,C[XGB]_accuracy_at_90_std,D_auroc_mean,D_auroc_std,D_auprc_mean,D_auprc_std,D_ece_mean,D_ece_std,D_accuracy_at_80_mean,D_accuracy_at_80_std,D_accuracy_at_90_mean,D_accuracy_at_90_std
math500_qwen7b,0.6464403493513082,0.05432685477918086,0.8088800433818916,0.038582986606906636,0.21207184002449558,0.012702745355599083,0.7675000000000001,0.006123724356957978,0.7533333333333333,0.008314794192830986,0.6265786946437631,0.0632445492334965,0.8049750208913181,0.03037434496764534,0.21031058513215495,0.01658698046320932,0.7775000000000001,0.026692695630078273,0.7555555555555555,0.012171612389003689,0.6161348481553961,0.03337386540054087,0.7839492445704344,0.022458052014885623,0.20615388469070992,0.025864646971618506,0.7675000000000001,0.016955824957813156,0.7511111111111111,0.011331154474650657,0.6113908367761107,0.05945817729325432,0.7757860661056071,0.04564648914204622,0.13379804898046377,0.033956866563489826,0.775,0.013693063937629145,0.7511111111111111,0.008888888888888896,0.5819877056606508,0.05274161102031927,0.7662472861777573,0.0456152214787762,0.16625320909917354,0.029362849616577525,0.7525000000000001,0.019999999999999997,0.7377777777777779,0.01133115447465064,0.7814538486627528,0.05552362571383277,0.8964828522611864,0.02887367785167204,0.18047010388092768,0.016557442493781046,0.795,0.021794494717703373,0.7666666666666667,0.017213259316477436
math500_llama8b,0.5728982765868011,0.05916375299811323,0.6632857350724243,0.04394096267321147,0.11732696946262325,0.01829330104417273,0.65,0.028504385627478448,0.6422222222222221,0.012957670877434,0.6136926229508196,0.02175945542970291,0.6982624370945543,0.042457750069088356,0.13492985209787856,0.029980889809034877,0.6425,0.016955824957813156,0.6333333333333333,0.014054567378526134,0.6342866750735603,0.032988773068919064,0.7354447052641332,0.012173907148630744,0.13343362196782432,0.02185532184224813,0.6599999999999999,0.021505813167606556,0.6377777777777778,0.020608041101101576,0.5965881672971837,0.04177313925859919,0.69760193577137,0.02951975006452014,0.11396463966148855,0.007392154246302908,0.6475,0.014577379737113249,0.6311111111111111,0.02266230894930126,0.5981369272803699,0.05481133872628161,0.6997013712812862,0.06532200038882938,0.18692823135852815,0.03571682928591906,0.6275000000000001,0.021505813167606556,0.6266666666666667,0.008888888888888858,0.7091281000420344,0.028583858737142823,0.7964102287918505,0.01672015729610644,0.11106750486896448,0.02107195332645874,0.6525000000000001,0.020000000000000025,0.6377777777777778,0.02060804110110154
gsm8k_qwen7b,0.6040894778798598,0.0353837339444249,0.7334773402868563,0.019244311474052315,0.17843878690231194,0.004439990453186113,0.7134416610245996,0.02135257674758754,0.6950833154544804,0.013609457982496395,0.5995399801903799,0.024134318435180234,0.7664029890122886,0.024703013447513363,0.16908356838173408,0.01073812262033254,0.6850101557210563,0.00475239520186292,0.6807480512050346,0.008496693048591493,0.6284475076033853,0.042340948437884635,0.798978714503453,0.023218667979383847,0.16521444257414183,0.00955392652552302,0.6925795531482735,0.024502540847251845,0.680730172352142,0.010601708111262253,0.6494356420919422,0.0234979302141086,0.8073455823453379,0.025092380455959393,0.13867821216249018,0.011681645202378611,0.7039855563078312,0.007040281393154806,0.6900271758563971,0.009301428155099448,0.6557823467067698,0.031186230205671198,0.8104365525975783,0.02865571597701539,0.1365239398069366,0.03073019087026571,0.7039810426540285,0.014931843539348023,0.6942537366802546,0.007464355776468057,0.7916848897965795,0.044555098965494776,0.8833691156104063,0.030023378217279222,0.13541758783797336,0.01570582042009773,0.7590205371248026,0.023218256220391538,0.7212937137953228,0.012002022677956957
gsm8k_llama8b,0.569798863087861,0.03716246551336541,0.5110897489261479,0.037207704595462125,0.05471208977519158,0.008066894919953264,0.4819814940194087,0.012851519367233244,0.472974325967246,0.008476745596104635,0.5216796099905604,0.02536244226505576,0.4771751503972328,0.014806520471851268,0.058364594487444785,0.004361207522006317,0.46206725344166105,0.015980478940917742,0.4687477651433884,0.008696815100773926,0.580885719680916,0.03444005803979452,0.5385558019619243,0.0327090286177575,0.0693292402208004,0.012317087441147472,0.47724667118032044,0.013196108253458285,0.4712901380247443,0.006179407483108276,0.5613315683589443,0.0346732336477043,0.5172017359617957,0.015267489362783583,0.06152178243562921,0.008459863191681426,0.4781719702098849,0.007723999878662531,0.46706000143030824,0.007262896198780992,0.5489982114801328,0.03250153553554152,0.4879294168486239,0.020405139401049467,0.13173240491792454,0.031171410437779837,0.46962310990747014,0.013824681301394404,0.47043552885646855,0.011013986354147742,0.700992479360248,0.04003258645678985,0.6487251049261941,0.04194293455355831,0.06235133815365853,0.025067148247442647,0.5151929587000678,0.019420948942801004,0.48649431452478015,0.00976524286924266
gpqa_diamond_qwen7b,0.6990790255496139,0.09501354164960193,0.6550281808016455,0.1311158015981403,0.1964910166526601,0.05309066696005869,0.4747983870967742,0.021106858594036132,0.4438095238095238,0.031751586815561235,0.6888914722674314,0.07461407475170544,0.6244892459679635,0.10133240890933871,0.16885379069709602,0.0429161955326464,0.5066532258064516,0.038112838381990616,0.4552380952380952,0.023770338124494226,0.7011806039939033,0.07676047007601065,0.6809801659669918,0.08226654536299291,0.18900465855263907,0.06688320665186007,0.4810483870967742,0.023489417437000358,0.4720634920634921,0.023146318899756435,0.7802901134103181,0.09457657021003191,0.7718574521963684,0.08149734965025096,0.16479611067273278,0.03702471049034588,0.5127016129032258,0.03654480664636192,0.4776190476190476,0.018770470475040622,0.7246493063628613,0.09255020676971153,0.7133070662701186,0.0941040256727844,0.24901661251838778,0.06526371437498549,0.5064516129032258,0.04031048205590705,0.4720634920634921,0.023146318899756435,0.7796481438425172,0.079489324151315,0.7434286719131549,0.10017891391566293,0.1823086373759994,0.0829121441742309,0.5064516129032258,0.021285205274547025,0.4720634920634921,0.023146318899756435
gpqa_diamond_llama8b,0.6313179347826087,0.044601678299427294,0.5211512981357554,0.06226440314026695,0.12978035840502256,0.03594802864854958,0.4495967741935484,0.026724168676821772,0.4158730158730159,0.023171341366450587,0.6166666666666667,0.07605246236518522,0.5440650844920483,0.0746465865413731,0.17683080746427557,0.036293963829092446,0.4304435483870968,0.015849390328252853,0.4103174603174603,0.018028280462858,0.6417798913043479,0.05731763531868286,0.5639185365929779,0.07737168795477388,0.21966743458067448,0.0407751686742051,0.4366935483870968,0.03573386095762121,0.4212698412698412,0.022927581060657492,0.6400588768115941,0.04719335462963273,0.6290544004689348,0.05746535659960448,0.15599672286506686,0.04983035252399715,0.4112903225806452,0.032540347563647126,0.4046031746031746,0.03476661561179795,0.5724864130434784,0.045494859844861714,0.5616422460383925,0.05765852459494063,0.29631919946378243,0.05532463400898522,0.3981854838709677,0.05079685009120493,0.40444444444444444,0.032555551685975626,0.6760416666666667,0.10696772989238226,0.6188103727171507,0.13116999458647596,0.1361940147224402,0.05412641188236351,0.4366935483870968,0.022263396392702653,0.41571428571428576,0.019789774445090395
arc_challenge_qwen7b,0.5927794445238133,0.05913809571805138,0.7725094622440791,0.04051653013134183,0.20183496911642287,0.004606675840900105,0.732096939356013,0.02232260484653173,0.7319295870006771,0.009091426542916538,0.673512177828574,0.03366687515489074,0.8219919149943964,0.02527219305609803,0.18923933021957265,0.016192718830350766,0.754528387757424,0.01403103121743957,0.7300157977883097,0.011510383602385132,0.6550697652269156,0.03561305504721161,0.7991505221327906,0.03045770972418352,0.19223240589241372,0.016568457313211105,0.7619865741267493,0.01034910850246737,0.7376303317535545,0.00799859189316452,0.6584697154890973,0.03061179228581265,0.8057449043582061,0.026148963826785807,0.11313805369461882,0.02079158834594261,0.7491921720332233,0.011349087528107293,0.7271721958925751,0.012900303681503052,0.6223189993174278,0.02060027743931542,0.7890849613547863,0.014696901451581824,0.12592027982487894,0.014291381015287118,0.7331778359312777,0.008663785533929259,0.7167230873392011,0.0051928797448540275,0.6823996380780037,0.023471861401378337,0.8327433197417534,0.026243042513942775,0.15796453211681996,0.010904477532012522,0.7523950392536124,0.005680600342740646,0.7319295870006771,0.006809761922925436
arc_challenge_llama8b,0.5235840548340549,0.01880023562871445,0.6678640790310549,0.025787990107421162,0.15910917948713593,0.0027998990331018453,0.6670326544544316,0.004689707127674873,0.6634980816971338,0.006949042323839277,0.5387619248035914,0.03978124604104935,0.6833889044125282,0.026644158767511115,0.15945072377151323,0.012151473288493309,0.6819717829104562,0.01515558538145329,0.672990295644324,0.011385152884476456,0.5745520683020684,0.03315099934794355,0.7139820898764957,0.014559157655603705,0.15710155096217346,0.004277670243463051,0.6776652633974286,0.018869459141468696,0.6710855337395621,0.01297012694661127,0.5556537598204265,0.031101679362388675,0.7071989470999711,0.02549402571131576,0.10146236969147257,0.016525909893316683,0.6798270565479576,0.007600737475750474,0.6663461972466711,0.006458475543296932,0.5432824274490942,0.01320290307998067,0.6883333300811527,0.017808238638962706,0.1683000204606606,0.025907487553408153,0.6616793719422005,0.008906890535377037,0.6663416835928684,0.004177327460531703,0.6019763107263107,0.02320524686683622,0.7390254284229769,0.026486248319791794,0.13041157426602684,0.0022762435359201406,0.6851632722721585,0.011698209469141132,0.6739562175581133,0.010990594081971537
