dataset,n,variant,n_features,auroc_lr,auroc_rf,auroc_xgb,best_clf,best_auroc
gsm8k_qwen7b,1319,deberta+feats,29,0.7905082653519847,0.7766962714789815,0.7482726923125415,lr,0.7905082653519847
gsm8k_qwen7b,1319,FULL_HYBRID,30,0.7930135666762761,0.7873639340057391,0.7394415854700809,lr,0.7930135666762761
gsm8k_llama8b,1319,step_only,1,0.62940995968372,0.5255381944444444,0.5294733796296296,lr,0.62940995968372
gsm8k_llama8b,1319,handcrafted+rec,28,0.6167220995449302,0.6067330669216,0.5920011482434002,lr,0.6167220995449302
gsm8k_llama8b,1319,STRUCTURAL_FULL,29,0.6054383211485485,0.6092682426618378,0.5799449029123616,rf,0.6092682426618378
gsm8k_llama8b,1319,deberta_only,1,0.7249391804247176,0.6433367450864867,0.6665837069840169,lr,0.7249391804247176
gsm8k_llama8b,1319,deberta+step,2,0.6951938100543472,0.6753471081738127,0.6558397160308317,lr,0.6951938100543472
gsm8k_llama8b,1319,deberta+feats,29,0.7246212917209818,0.7065643254434576,0.6709719994766482,lr,0.7246212917209818
gsm8k_llama8b,1319,FULL_HYBRID,30,0.6973765113253749,0.7052060623987277,0.6815503961526688,rf,0.7052060623987277
gpqa_diamond_qwen7b,198,step_only,1,0.7544950786638764,0.6599053191764189,0.6042955126714717,lr,0.7544950786638764
gpqa_diamond_qwen7b,198,handcrafted+rec,28,0.6964491461933917,0.765719858430856,0.7140936216383786,rf,0.765719858430856
gpqa_diamond_qwen7b,198,STRUCTURAL_FULL,29,0.6937985998088301,0.7683768632617737,0.7157534423519077,rf,0.7683768632617737
gpqa_diamond_qwen7b,198,deberta_only,1,0.7725942287323362,0.6716532330982459,0.6721647420496525,lr,0.7725942287323362
gpqa_diamond_qwen7b,198,deberta+step,2,0.7636583223539746,0.7047004572580021,0.6333714381668346,lr,0.7636583223539746
gpqa_diamond_qwen7b,198,deberta+feats,29,0.7084205223591413,0.7762690847089824,0.7300382340024283,rf,0.7762690847089824
gpqa_diamond_qwen7b,198,FULL_HYBRID,30,0.7093518303236974,0.7703492727789403,0.731893099795913,rf,0.7703492727789403
gpqa_diamond_llama8b,198,step_only,1,0.6628170289855073,0.5847939311594202,0.5841598731884059,lr,0.6628170289855073
gpqa_diamond_llama8b,198,handcrafted+rec,28,0.6664628623188407,0.6870471014492754,0.6461956521739131,rf,0.6870471014492754
gpqa_diamond_llama8b,198,STRUCTURAL_FULL,29,0.6642889492753624,0.685348731884058,0.634171195652174,rf,0.685348731884058
gpqa_diamond_llama8b,198,deberta_only,1,0.6869338768115941,0.5040760869565217,0.5272078804347826,lr,0.6869338768115941
gpqa_diamond_llama8b,198,deberta+step,2,0.6917798913043478,0.65859375,0.5978600543478262,lr,0.6917798913043478
gpqa_diamond_llama8b,198,deberta+feats,29,0.6664628623188407,0.6806385869565217,0.6471920289855072,rf,0.6806385869565217
gpqa_diamond_llama8b,198,FULL_HYBRID,30,0.6740942028985507,0.6976222826086957,0.6215126811594203,rf,0.6976222826086957
arc_challenge_qwen7b,1172,step_only,1,0.6714484287611578,0.584769274727368,0.5845508516278553,lr,0.6714484287611578
arc_challenge_qwen7b,1172,handcrafted+rec,28,0.6440160642570282,0.6571303395399781,0.6367382573773354,rf,0.6571303395399781
arc_challenge_qwen7b,1172,STRUCTURAL_FULL,29,0.6488713219148001,0.6679150859035616,0.63022768279971,rf,0.6679150859035616
arc_challenge_qwen7b,1172,deberta_only,1,0.7115495446873131,0.6108435322316936,0.6385469149324571,lr,0.7115495446873131
arc_challenge_qwen7b,1172,deberta+step,2,0.7195674926319243,0.6490886338502893,0.6694356874136863,lr,0.7195674926319243
arc_challenge_qwen7b,1172,deberta+feats,29,0.6871322973051627,0.6750176463429476,0.6332589382563191,lr,0.6871322973051627
arc_challenge_qwen7b,1172,FULL_HYBRID,30,0.6885414649374839,0.6728977570360491,0.6379263562815161,lr,0.6885414649374839
arc_challenge_llama8b,1172,step_only,1,0.5962350689434022,0.5001028138528139,0.5056881313131313,lr,0.5962350689434022
arc_challenge_llama8b,1172,handcrafted+rec,28,0.5670877425044092,0.5821803350970017,0.5511952861952862,rf,0.5821803350970017
arc_challenge_llama8b,1172,STRUCTURAL_FULL,29,0.5669739057239058,0.5835784431617765,0.5467117604617605,rf,0.5835784431617765
arc_challenge_llama8b,1172,deberta_only,1,0.6242129629629629,0.5367162698412699,0.5580723905723907,lr,0.6242129629629629
arc_challenge_llama8b,1172,deberta+step,2,0.6212564133397467,0.5327246673080006,0.5349263468013469,lr,0.6212564133397467
arc_challenge_llama8b,1172,deberta+feats,29,0.6059632034632034,0.6210930735930736,0.583675444925445,rf,0.6210930735930736
arc_challenge_llama8b,1172,FULL_HYBRID,30,0.6045045695045695,0.6235992865159531,0.5935992865159532,rf,0.6235992865159531
