variant,clf,group,auroc,auprc,ece,accuracy,accuracy_at_80,accuracy_at_90,prr,n_samples
baselineC+rec,lr,gpqa_diamond_qwen7b,0.7186265906099167,0.6537544355653153,0.0826952594264488,0.671875,0.49019607843137253,0.47093023255813954,,192
baselineC+rec,lr,gsm8k_llama8b,0.564025139159896,0.5200838985493649,0.01707775078550085,0.5678544351781653,0.4720379146919431,0.4625105307497894,,1319
baselineC+rec,lr,gsm8k_qwen7b,0.6492046759456651,0.8027078365595592,0.19438927862595354,0.5462822458270106,0.706831119544592,0.6838111298482293,,1318
baselineC+rec,lr,math500_llama8b,0.6214854570637118,0.71204647487426,0.09653469621154824,0.5890688259109311,0.6506329113924051,0.6396396396396397,,494
baselineC+rec,lr,math500_qwen7b,0.598317877072544,0.7881996574659107,0.12829404585119447,0.6733466933867736,0.7468671679197995,0.7461024498886414,,499
baselineC+rec,rf,arc_challenge_llama8b,0.5982055268209536,0.7360298470340175,0.043107387711842596,0.6523972602739726,0.6884368308351178,0.6717411988582302,,1168
baselineC+rec,rf,arc_challenge_qwen7b,0.645650623885918,0.7994627083226216,0.06895538248729295,0.7004291845493562,0.7424892703862661,0.7356870229007634,,1165
baselineC+rec,rf,gpqa_diamond_llama8b,0.6745206745206747,0.599581921453145,0.07603779305068273,0.6455026455026455,0.45695364238410596,0.43529411764705883,,189
baselineC+rec,rf,gpqa_diamond_qwen7b,0.7366169372531812,0.6555190736187273,0.10870270042990646,0.7135416666666666,0.5098039215686274,0.48255813953488375,,192
baselineC+rec,rf,gsm8k_llama8b,0.5919173707701648,0.5397328107192454,0.03469901370947973,0.5784685367702805,0.4815165876777251,0.472620050547599,,1319
baselineC+rec,rf,gsm8k_qwen7b,0.6765106710227912,0.8134838725556237,0.15367754140645493,0.6069802731411229,0.7201138519924098,0.6973018549747049,,1318
baselineC+rec,rf,math500_llama8b,0.6169494459833795,0.7065228877293459,0.08545101910588229,0.5991902834008097,0.6531645569620254,0.6351351351351351,,494
baselineC+rec,rf,math500_qwen7b,0.6174876550644345,0.7794382107185618,0.0796855605377224,0.717434869739479,0.7518796992481203,0.7438752783964365,,499
baselineC+rec,xgb,arc_challenge_llama8b,0.5812809005608951,0.7239311953942119,0.08683156065821443,0.6001712328767124,0.6723768736616702,0.6679352997145576,,1168
baselineC+rec,xgb,arc_challenge_qwen7b,0.6167023172905526,0.7905298631730648,0.08116291529566944,0.6540772532188841,0.7371244635193133,0.7337786259541985,,1165
baselineC+rec,xgb,gpqa_diamond_llama8b,0.655001155001155,0.5779623325649078,0.11553455451651223,0.6455026455026455,0.44370860927152317,0.4411764705882353,,189
baselineC+rec,xgb,gpqa_diamond_qwen7b,0.7200526546731022,0.6571853222201784,0.12087835830364689,0.6979166666666666,0.5228758169934641,0.47674418604651164,,192
baselineC+rec,xgb,gsm8k_llama8b,0.5753572272767301,0.528104034406003,0.06649044872889293,0.5663381349507203,0.4786729857819905,0.4650379106992418,,1319
baselineC+rec,xgb,gsm8k_qwen7b,0.662855057716906,0.7996448839602729,0.15730906978860065,0.5925644916540213,0.7163187855787476,0.6897133220910624,,1318
