group,deberta_auroc,route_ab_total_auroc,delta,passes
arc_challenge_llama8b,0.6167026799769254,0.6013179893817769,-0.015384690595148465,False
arc_challenge_qwen7b,0.6817860962566845,0.6515650623885918,-0.030221033868092717,False
gpqa_diamond_llama8b,0.6957149457149456,0.6667821667821667,-0.028932778932778902,False
gpqa_diamond_qwen7b,0.7112220272049145,0.75329091706889,0.0420688898639755,True
gsm8k_llama8b,0.7399169907164939,0.5887448495775379,-0.15117214113895594,False
gsm8k_qwen7b,0.8182577943326785,0.6741957169425865,-0.14406207739009202,False
math500_llama8b,0.8238659972299169,0.5989612188365652,-0.22490477839335177,False
math500_qwen7b,0.8756975390421133,0.6200369344413665,-0.2556606046007468,False
