source,target,diagonal,auroc,auprc,ece,prr,acc_at_80,n_target,target_pos_rate
math500_qwen7b,math500_qwen7b,True,0.9090256880368282,0.9680658173134304,0.06901975324749947,0.8923763257400023,0.835,500,0.722
math500_qwen7b,math500_llama8b,False,0.745703544575725,0.8222641201603325,0.20186943800747398,0.588295221126853,0.6775,500,0.608
math500_qwen7b,gsm8k_qwen7b,False,0.6490589377427033,0.7802282392903114,0.21379955054188068,0.3646281353083607,0.7023696682464455,1319,0.6724791508718726
math500_qwen7b,gsm8k_llama8b,False,0.5967897051803168,0.5336865071739354,0.41625244121283994,0.19297028290500462,0.4881516587677725,1319,0.45564821834723274
math500_qwen7b,gpqa_diamond_qwen7b,False,0.7468853820598006,0.7165732570675414,0.19432325017723173,0.563404602645789,0.5063291139240507,198,0.43434343434343436
math500_qwen7b,gpqa_diamond_llama8b,False,0.5981991525423729,0.5255625074245531,0.2742085213387253,0.2537599877387922,0.43670886075949367,198,0.40404040404040403
math500_qwen7b,arc_challenge_qwen7b,False,0.6147521160822249,0.7777086769728156,0.21067050217615868,0.2700342949241145,0.7342582710779082,1172,0.7056313993174061
math500_qwen7b,arc_challenge_llama8b,False,0.54892421011824,0.6992356458541109,0.254869091925259,0.14186556265682096,0.6648879402347919,1172,0.6569965870307167
math500_llama8b,math500_qwen7b,False,0.7581259092449032,0.8923459068018981,0.153073268532753,0.6370162611198217,0.7975,500,0.722
math500_llama8b,math500_llama8b,True,0.8094454887218046,0.8892345018299626,0.108261312097311,0.7415431457137502,0.68,500,0.608
math500_llama8b,gsm8k_qwen7b,False,0.6404155705874985,0.7839881530358437,0.23025192223189908,0.37462246196315097,0.6976303317535545,1319,0.6724791508718726
math500_llama8b,gsm8k_llama8b,False,0.5486260132833393,0.5139063946812701,0.10929641478932924,0.14178433621848757,0.46255924170616114,1319,0.45564821834723274
math500_llama8b,gpqa_diamond_qwen7b,False,0.7457433554817275,0.6688632493706312,0.12765232292991696,0.48634674034130587,0.4810126582278481,198,0.43434343434343436
math500_llama8b,gpqa_diamond_llama8b,False,0.6077330508474577,0.5264382030822834,0.2255179848183285,0.2524848174491213,0.43670886075949367,198,0.40404040404040403
math500_llama8b,arc_challenge_qwen7b,False,0.5777141054623837,0.7515574042385444,0.32126021041906744,0.173985077437054,0.7214514407684098,1172,0.7056313993174061
math500_llama8b,arc_challenge_llama8b,False,0.5125670349550946,0.6523588816799167,0.3659172456190244,-0.024033289916129384,0.6606189967982924,1172,0.6569965870307167
gsm8k_qwen7b,math500_qwen7b,False,0.6269355706570477,0.7981587606325609,0.1565593104958534,0.2970796120554349,0.75,500,0.722
gsm8k_qwen7b,math500_llama8b,False,0.5584049409237379,0.6784645280821526,0.1130985730290413,0.20182414984044772,0.61,500,0.608
gsm8k_qwen7b,gsm8k_qwen7b,True,0.7345348448787006,0.8525176936980979,0.1451731192695091,0.582939832966699,0.7450236966824645,1319,0.6724791508718726
gsm8k_qwen7b,gsm8k_llama8b,False,0.6271441747505319,0.5761932412113749,0.06936534744397178,0.2822819055159744,0.5061611374407583,1319,0.45564821834723274
gsm8k_qwen7b,gpqa_diamond_qwen7b,False,0.4994808970099668,0.4748682198818204,0.04786946993283556,0.06922583679198431,0.4177215189873418,198,0.43434343434343436
gsm8k_qwen7b,gpqa_diamond_llama8b,False,0.503177966101695,0.44921901148379473,0.07952409847216171,0.075348607816363,0.3987341772151899,198,0.40404040404040403
gsm8k_qwen7b,arc_challenge_qwen7b,False,0.5614496258521284,0.7375677129052532,0.14042560560406275,0.12202901171036906,0.7225186766275347,1172,0.7056313993174061
gsm8k_qwen7b,arc_challenge_llama8b,False,0.48888835045551465,0.6490120537224556,0.12907125411790385,-0.03443917299943377,0.6424759871931697,1172,0.6569965870307167
gsm8k_llama8b,math500_qwen7b,False,0.6330835608521493,0.7948210529976797,0.2188344975709915,0.2850118685123819,0.7625,500,0.722
