group,n,auroc,label_rate
arc_challenge_llama8b,1168,0.6703885852472534,0.6583904109589042
arc_challenge_qwen7b,1165,0.7312869875222816,0.7081545064377682
gpqa_diamond_llama8b,189,0.7161007161007162,0.4126984126984127
gpqa_diamond_qwen7b,192,0.7552654673102238,0.4479166666666667
gsm8k_llama8b,1319,0.7587980107434685,0.45564821834723274
gsm8k_qwen7b,1318,0.8503414884239215,0.6729893778452201
math500_llama8b,494,0.8683518005540167,0.6153846153846154
math500_qwen7b,499,0.9378738608535068,0.7234468937875751
