model_key,model_name,n_groups_common,n_samples_common,auroc_wtd_common,auprc_wtd_common,prr_wtd_common,ece_wtd_common,acc80_wtd_common
roberta,RoBERTa,8,6378,0.7762838828125636,0.82617748462648,0.6110740865828532,0.0923571724619269,0.6991858409877465
deberta,DeBERTa-v3,8,6378,0.7406685499014926,0.800364047550743,0.5406856731378505,0.08938138365325587,0.6893830985635123
gnn_hybrid,TraceGIN-hybrid,8,6378,0.6943574614295759,0.7593895519949273,0.4351290127545578,0.14403814226844516,0.6676209905782036
trace_mlm_np,Trace-MLM (no pretrain),8,6378,0.6631927844482131,0.741284582056219,0.3768361685017149,0.124367075563692,0.6587987176625252
step,StepTF (MiniLM),8,6378,0.6536666820477726,0.7359541655479159,0.3702402800849997,0.14029091889346496,0.6564461485501654
step_bge,StepTF (BGE),8,6378,0.6457449839627383,0.7229797658982059,0.33341666801592645,0.1299580733542085,0.6556630193864439
trace_mlm,Trace-MLM,8,6378,0.6399840771924548,0.7216397735930847,0.32141324462788956,0.11311371607823352,0.6558613212057988
gnn_structural,TraceGIN-struct,8,6378,0.6004258518893913,0.6917417115653542,0.24299939649895605,0.11380901252141228,0.6397876340461595
behavior_seq_lm,BehaviorSeq-LM,8,6378,0.5992907072451351,0.690364283963564,0.24202720911605569,0.11104306122349437,0.6411609062936677
shapelet,Shapelet (A2+),8,6344,0.5632096868810778,0.6609470594047078,0.15164314680363555,0.11069607651295683,0.6325433223752087
