model_key,model_name,group,n_groups,auroc,auprc,prr,ece,accuracy_at_80,accuracy_at_90,n_samples,base_accuracy
gnn_structural,TraceGIN-struct,OVERALL,9,0.6433484033782714,0.7249516298451917,0.33369017146692453,0.10431649256876092,0.6561156701836655,0.6372004168113928,6398,0.614098155673648
gnn_structural,TraceGIN-struct,arc_challenge_llama8b,1,0.5680461329715061,0.707950664304306,0.17124113157364823,0.0989410424598655,0.67982924226254,0.6707779886148008,1172,0.6569965870307167
gnn_structural,TraceGIN-struct,arc_challenge_qwen7b,1,0.6355501813784764,0.7837219040304992,0.29484004627482174,0.11864888708746067,0.7481323372465315,0.7314990512333965,1172,0.7056313993174061
gnn_structural,TraceGIN-struct,gpqa_diamond_llama8b,1,0.6446504237288135,0.5427432054269679,0.2976585522031966,0.058444867606716924,0.45569620253164556,0.4157303370786517,198,0.40404040404040403
gnn_structural,TraceGIN-struct,gpqa_diamond_qwen7b,1,0.6977782392026578,0.6374204919711669,0.4266958183115419,0.10954419071927214,0.45569620253164556,0.43258426966292135,198,0.43434343434343436
gnn_structural,TraceGIN-struct,gsm8k_llama8b,1,0.5418487757173513,0.4959276494136996,0.09872828081714076,0.039039693993090485,0.46161137440758293,0.46082561078348777,1319,0.45564821834723274
gnn_structural,TraceGIN-struct,gsm8k_qwen7b,1,0.631915737609086,0.7978019703832483,0.41037690219159234,0.20622115882171474,0.6938388625592417,0.6866048862679023,1319,0.6724791508718726
gnn_structural,TraceGIN-struct,math500_deepseek_r1,1,0.6373626373626373,0.7333397596555492,0.19272551896702023,0.09106479138135912,0.6875,0.6666666666666666,20,0.65
gnn_structural,TraceGIN-struct,math500_llama8b,1,0.6129665682062299,0.6864127627317513,0.23257429911104072,0.09860753485560418,0.6425,0.6333333333333333,500,0.608
gnn_structural,TraceGIN-struct,math500_qwen7b,1,0.5968433009824827,0.7607604486251145,0.1447679182519543,0.1295876371860504,0.7625,0.7466666666666667,500,0.722
gnn_hybrid,TraceGIN-hybrid,OVERALL,9,0.7125702049779702,0.7770580822284526,0.4745439085489412,0.12972106283257512,0.6832747166862055,0.6453629732546023,6398,0.614098155673648
gnn_hybrid,TraceGIN-hybrid,arc_challenge_llama8b,1,0.5912644569360987,0.717884857814533,0.20462437410047937,0.1495380513874636,0.6776947705442903,0.6726755218216319,1172,0.6569965870307167
gnn_hybrid,TraceGIN-hybrid,arc_challenge_qwen7b,1,0.6436920596533655,0.7941248430435633,0.33277296838796333,0.11967060262728293,0.7481323372465315,0.7371916508538899,1172,0.7056313993174061
gnn_hybrid,TraceGIN-hybrid,gpqa_diamond_llama8b,1,0.6002648305084746,0.5369893776128895,0.270577591440274,0.16004883655996036,0.4240506329113924,0.398876404494382,198,0.40404040404040403
gnn_hybrid,TraceGIN-hybrid,gpqa_diamond_qwen7b,1,0.7401370431893688,0.6933637867161816,0.5264261003215427,0.12227380043366042,0.4873417721518987,0.46629213483146065,198,0.43434343434343436
