group,gnn_hybrid_auroc,step_auroc,delta,pass
math500_qwen7b,0.8520098048984632,0.7004623448055959,0.15154746009286735,True
math500_llama8b,0.7664641514500536,0.6678470730397422,0.09861707841031142,True
gpqa_diamond_llama8b,0.6002648305084746,0.5483050847457627,0.051959745762711895,True
gpqa_diamond_qwen7b,0.7401370431893688,0.6970514950166112,0.04308554817275756,True
gsm8k_llama8b,0.6881265671420428,0.6491281939571466,0.038998373184896185,True
arc_challenge_llama8b,0.5912644569360987,0.5575838340763715,0.03368062285972728,True
gsm8k_qwen7b,0.7573672178379056,0.7327785084972234,0.024588709340682247,True
arc_challenge_qwen7b,0.6436920596533655,0.6502795156230833,-0.00658745596971777,False
