group,gnn_hybrid_auroc,deberta_auroc,delta,pass
gpqa_diamond_qwen7b,0.7401370431893688,0.7196843853820598,0.020452657807308983,True
math500_qwen7b,0.8520098048984632,0.8718089240518941,-0.01979911915343091,False
arc_challenge_llama8b,0.5912644569360987,0.621582024940234,-0.03031756800413521,False
arc_challenge_qwen7b,0.6436920596533655,0.6896307589856825,-0.04593869933231698,False
gsm8k_llama8b,0.6881265671420428,0.7410108037208182,-0.05288423657877539,False
math500_llama8b,0.7664641514500536,0.8277977309344791,-0.061333579484425416,False
gsm8k_qwen7b,0.7573672178379056,0.8188716125934278,-0.06150439475552216,False
gpqa_diamond_llama8b,0.6002648305084746,0.6942266949152542,-0.09396186440677967,False
