group,gnn_structural_auroc,deberta_auroc,delta,pass
gpqa_diamond_qwen7b,0.6977782392026578,0.7196843853820598,-0.02190614617940201,False
gpqa_diamond_llama8b,0.6446504237288135,0.6942266949152542,-0.0495762711864407,False
arc_challenge_llama8b,0.5680461329715061,0.621582024940234,-0.05353589196872788,False
arc_challenge_qwen7b,0.6355501813784764,0.6896307589856825,-0.05408057760720608,False
gsm8k_qwen7b,0.631915737609086,0.8188716125934278,-0.18695587498434174,False
gsm8k_llama8b,0.5418487757173513,0.7410108037208182,-0.19916202800346683,False
math500_llama8b,0.6129665682062299,0.8277977309344791,-0.2148311627282492,False
math500_qwen7b,0.5968433009824827,0.8718089240518941,-0.2749656230694114,False
