subset,n_features,pooled_auroc,ci_low,ci_high,ci_width,var_auroc,diff_vs_full,diff_ci_low,diff_ci_high,z_vs_full,p_vs_full
full,34,0.8053842992190711,0.7943041720381848,0.816005833154713,0.02170166111652816,3.064704397265866e-05,0.0,0.0,0.0,0.0,1.0
all_oofs,6,0.8052436334416938,0.7941722360931827,0.8158575874735132,0.021685351380330564,3.060102875217272e-05,-0.00014066577737725794,-0.0016196154720155283,0.0013382839172610124,-0.1864159805544886,0.8521185614076368
roberta+hand,29,0.8020189874102815,0.7908546298625179,0.8127285039090595,0.02187387404654162,3.113600459084113e-05,-0.0033653118087895173,-0.006295147071704622,-0.00043547654587441226,-2.2512835535374336,0.02436758379006497
roberta_only,1,0.8018653427584133,0.7907197442757464,0.8125580715018289,0.021838327226082477,3.103492709965131e-05,-0.003518956460657807,-0.00698699204086845,-5.0920880447164266e-05,-1.9887419741048122,0.046729690446832325
oof_minus_roberta,5,0.7819508099605873,0.7702608988189791,0.7932055923870537,0.022944693568074603,3.4262853774590636e-05,-0.023433489258483764,-0.028631371546125994,-0.018235606970841534,-8.836059078892259,9.91543571791786e-19
hand_only,28,0.6659764742924228,0.6521779063696215,0.6794966500932466,0.027318743723625083,4.859012729653058e-05,-0.13940782492664827,-0.15230674589927554,-0.126508903954021,-21.182726570627484,1.3781995408805853e-99
